Handia;1:56;Drama
La lista de Schindler;3:17;Drama
Cadena Perpetua;2:22;Drama
Million Dollar Baby;2:13;Drama
2001: Odisea en el espacio;2:22;Sci-Fi
La novia de Frankenstein;1:15;Sci-Fi
El planeta de los simios;1:55;Sci-Fi
Alien, el octavo pasajero;1:57;Sci-Fi
Scary movie;1:30;Komedia
El gran Lebowsky;1:59;Komedia
La vida de Brian;1:34;Komedia
Aterriza como puedas;1:28;Komedia
Psicosis;1:49;Terror
El resplandor;2:26;Terror
Drácula;2:35;Terror
Cisne negro;1:50;Terror
